year,metric,value
2024-2025,avg_need_based_grant_award,68578
2024-2025,avg_need_based_loan,3184
2024-2025,avg_financial_aid_package,70971
2023-2024,avg_need_based_grant_award,63395
2023-2024,avg_need_based_loan,3069
2023-2024,avg_financial_aid_package,65883
2022-2023,avg_need_based_grant_award,59883
2022-2023,avg_need_based_loan,2325
2022-2023,avg_financial_aid_package,62265
2021-2022,avg_need_based_grant_award,53221
2021-2022,avg_need_based_loan,2507
2021-2022,avg_financial_aid_package,54954
2020-2021,avg_need_based_grant_award,55993
2020-2021,avg_need_based_loan,2598
2020-2021,avg_financial_aid_package,58352
2019-2020,avg_need_based_grant_award,53107
2019-2020,avg_need_based_loan,2504
2019-2020,avg_financial_aid_package,55680
2018-2019,avg_need_based_grant_award,48798
2018-2019,avg_need_based_loan,2482
2018-2019,avg_financial_aid_package,51470
2017-2018,avg_need_based_grant_award,47114
2017-2018,avg_need_based_loan,3495
2017-2018,avg_financial_aid_package,49401
2016-2017,avg_need_based_grant_award,45711
2016-2017,avg_need_based_loan,130
2016-2017,avg_financial_aid_package,47992
2015-2016,avg_need_based_grant_award,42150
2015-2016,avg_need_based_loan,83
2015-2016,avg_financial_aid_package,43677
2014-2015,avg_need_based_grant_award,41149
2014-2015,avg_need_based_loan,82
2014-2015,avg_financial_aid_package,43166
2014-2015,avg_per_borrower_cumulative_debt,19442
2012-2013,avg_need_based_grant_award,38414
2012-2013,avg_need_based_loan,212
2012-2013,avg_financial_aid_package,40582
2012-2013,avg_per_borrower_cumulative_debt,21190
2011-2012,avg_need_based_grant_award,36522.0
2011-2012,avg_need_based_loan,201.1
2011-2012,avg_financial_aid_package,38595.87
2011-2012,avg_per_borrower_cumulative_debt,17891
2010-2011,avg_need_based_grant_award,33460
2010-2011,avg_need_based_loan,118
2010-2011,avg_financial_aid_package,35264
2010-2011,avg_per_borrower_cumulative_debt,17013
2009-2010,avg_need_based_grant_award,31452
2009-2010,avg_need_based_loan,965
2009-2010,avg_financial_aid_package,33773
2009-2010,avg_per_borrower_cumulative_debt,17787
