year,expense,amount
2024-2025,tuition_first_year,69130
2024-2025,tuition_out_of_state,1202
2024-2025,tuition_nonresident,2881.0
2024-2025,required_fees,1202
2024-2025,food_and_housing,22104
2024-2025,housing_only,12054
2024-2025,food_only,10050
2024-2025,books_supplies,1718.0
2024-2025,transportation,1550.0
2024-2025,other_expenses,1880.0
2023-2024,tuition_first_year,66470
2023-2024,tuition_out_of_state,1172
2023-2024,required_fees,1172
2023-2024,food_and_housing,21312
2023-2024,housing_only,11650
2023-2024,food_only,9662
2023-2024,books_supplies,1680
2023-2024,transportation,1550
2023-2024,other_expenses,1836
2018-2019,tuition_first_year,54430
2018-2019,tuition_in_state,2256
2018-2019,tuition_out_of_state,54430
2018-2019,room_and_board,15018
