year,metric,value
2024-2025,avg_need_based_grant_award,67740
2024-2025,avg_need_based_loan,1623
2024-2025,avg_financial_aid_package,69036
2024-2025,pct_class_borrowed,1.0
2023-2024,avg_need_based_grant_award,63099
2023-2024,avg_need_based_loan,2243
2023-2024,avg_financial_aid_package,64857
2023-2024,pct_class_borrowed,1.0
2022-2023,avg_need_based_grant_award,59142
2022-2023,avg_need_based_loan,2068
2022-2023,avg_financial_aid_package,60077
2022-2023,pct_class_borrowed,1.0
2022-2023,avg_per_borrower_cumulative_debt,1
2021-2022,avg_need_based_grant_award,57024
2021-2022,avg_need_based_loan,1504
2021-2022,avg_financial_aid_package,57691
2021-2022,pct_class_borrowed,1.0
2021-2022,avg_per_borrower_cumulative_debt,1
2020-2021,avg_need_based_grant_award,53306
2020-2021,avg_need_based_loan,1998
2020-2021,avg_financial_aid_package,54052
2020-2021,pct_class_borrowed,1.0
2020-2021,avg_per_borrower_cumulative_debt,1
2019-2020,avg_need_based_grant_award,50044
2019-2020,avg_need_based_loan,1968
2019-2020,avg_financial_aid_package,51721
2019-2020,pct_class_borrowed,1.0
2019-2020,avg_per_borrower_cumulative_debt,1
2018-2019,avg_need_based_grant_award,49010
2018-2019,avg_need_based_loan,2963
2018-2019,avg_financial_aid_package,50626
2018-2019,pct_class_borrowed,1.0
2017-2018,avg_need_based_grant_award,45215
2017-2018,avg_need_based_loan,3028
2017-2018,avg_financial_aid_package,47524
2016-2017,avg_need_based_grant_award,42351
2016-2017,avg_need_based_loan,2608
2016-2017,avg_financial_aid_package,44934
2015-2016,avg_need_based_grant_award,39882
2015-2016,avg_need_based_loan,2869
2015-2016,avg_financial_aid_package,42175
2014-2015,avg_need_based_loan,2870
2014-2015,avg_financial_aid_package,39495
2014-2015,avg_per_borrower_cumulative_debt,19064
2009-2010,avg_need_based_grant_award,34136
2009-2010,avg_need_based_loan,2127
2009-2010,avg_financial_aid_package,35919
2009-2010,avg_per_borrower_cumulative_debt,15043
2004-2005,avg_need_based_grant_award,22589
2004-2005,avg_need_based_loan,3220
2004-2005,avg_financial_aid_package,24460
2004-2005,avg_per_borrower_cumulative_debt,20079
2003-2004,avg_need_based_grant_award,20659
2003-2004,avg_need_based_loan,2855
2003-2004,avg_financial_aid_package,22464
2003-2004,avg_per_borrower_cumulative_debt,20580
