year,metric,value
2024-2025,avg_need_based_grant_award,73497
2024-2025,avg_need_based_loan,3558
2024-2025,avg_financial_aid_package,74387
2023-2024,avg_need_based_grant_award,67949.0
2023-2024,avg_need_based_loan,3837.0
2023-2024,avg_financial_aid_package,70478.0
2022-2023,avg_need_based_grant_award,65595
2022-2023,avg_need_based_loan,3077
2022-2023,avg_financial_aid_package,67898
2017-2018,avg_need_based_grant_award,53120
2017-2018,avg_need_based_loan,3712
2017-2018,avg_financial_aid_package,55354
2010-2011,avg_need_based_grant_award,41341
2010-2011,avg_need_based_loan,3845
2010-2011,avg_financial_aid_package,42853
2010-2011,avg_per_borrower_cumulative_debt,10102
2007-2008,avg_need_based_grant_award,34806
2007-2008,avg_need_based_loan,3631
2007-2008,avg_financial_aid_package,37137
2007-2008,avg_per_borrower_cumulative_debt,9290
