year,metric,value
2024-2025,avg_need_based_grant_award,57947
2024-2025,avg_need_based_loan,3246.0
2024-2025,avg_financial_aid_package,62720
2017-2018,avg_need_based_grant_award,42053
2017-2018,avg_need_based_loan,4845
2017-2018,avg_financial_aid_package,47860
2010-2011,avg_need_based_grant_award,33653
2010-2011,avg_need_based_loan,2735
2010-2011,avg_financial_aid_package,37846
2010-2011,avg_per_borrower_cumulative_debt,20648
2008-2009,avg_need_based_grant_award,26649
2008-2009,avg_need_based_loan,2321
2008-2009,avg_financial_aid_package,30530
2008-2009,avg_per_borrower_cumulative_debt,23485
